DIA,COLOR,,,,2023
10/28/2023,,SAB,,,
10/29/2023,,DOM,,,
10/30/2023,NEGRO,LUN,,,
10/31/2023,NEGRO,MART,,,
11/1/2023,NEGRO,MIER,,,
11/2/2023,ORO,JUE,,,
11/3/2023,ORO,VIER,,,
11/4/2023,,SAB,,,
11/5/2023,,DOM,,,
11/6/2023,ORO,LUN,,,
11/7/2023,ORO,MART,,,
11/8/2023,CAFE,MIER,,,
11/9/2023,CAFE,JUE,,,
11/10/2023,CAFE,VIER,,,
11/11/2023,,SAB,,,
11/12/2023,,DOM,,,
11/13/2023,CAFE,LUN,,,
11/14/2023,ROSA,MART,,,
11/15/2023,ROSA,MIER,,,
11/16/2023,ROSA,JUE,,,
11/17/2023,ROSA,VIER,,,
11/18/2023,,SAB,,,
11/19/2023,,DOM,,,
11/20/2023,,LUN,Festivo,,
11/21/2023,GRIS,MART,,,
11/22/2023,GRIS,MIER,,,
11/23/2023,GRIS,JUE,,,
11/24/2023,GRIS,VIER,,,
11/25/2023,,SAB,,,
11/26/2023,,DOM,,,
11/27/2023,AZUL CLARO,LUN,,,
11/28/2023,AZUL CLARO,MART,,,
11/29/2023,AZUL CLARO,MIER,,,
11/30/2023,AZUL CLARO,JUE,,,
12/1/2023,MELON,VIER,,,
12/2/2023,,SAB,,,
12/3/2023,,DOM,,,
12/4/2023,MELON,LUN,,,
12/5/2023,MELON,MART,,,
12/6/2023,MELON,MIER,,,
12/7/2023,VERDE CLARO,JUE,,,
12/8/2023,VERDE CLARO,VIER,,,
12/9/2023,,SAB,,,
12/10/2023,,DOM,,,
12/11/2023,VERDE CLARO,LUN,,,
12/12/2023,VERDE CLARO,MART,,,
12/13/2023,BLANCO,MIER,,,
12/14/2023,BLANCO,JUE,,,
12/15/2023,BLANCO,VIER,,,
12/16/2023,,SAB,,,
12/17/2023,,DOM,,,
12/18/2023,BLANCO,LUN,,,
12/19/2023,AZUL,MART,,,
12/20/2023,AZUL,MIER,,,
12/21/2023,AZUL,JUE,,,
12/22/2023,AZUL,VIER,,,
12/23/2023,,SAB,,,
12/24/2023,,DOM,,,
12/25/2023,,LUN,Festivo,,
12/26/2023,VERDE,MART,,,
12/27/2023,VERDE,MIER,,,
12/28/2023,VERDE,JUE,,,
12/29/2023,VERDE,VIER,,,
12/30/2023,,SAB,,,
12/31/2023,,DOM,,,
